S.No,HEA combinations,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Zr,Hf,Mo,W,Si
1,CrFeNiSiTi,0,0,20,20,20,0,0,20,0,0,0,0,0,0,20
2,CrFeNiSiV,0,0,20,20,20,0,0,0,20,0,0,0,0,0,20
3,CrFeNiSiMo,0,0,20,20,20,0,0,0,0,0,0,0,20,0,20
4,CrFeNiTiV,0,0,20,20,20,0,0,20,20,0,0,0,0,0,0
5,CrFeNiTiMo,0,0,20,20,20,0,0,20,0,0,0,0,20,0,0
6,CrFeNiVMo,0,0,20,20,20,0,0,0,20,0,0,0,20,0,0
7,CrFeSiTiV,0,0,20,20,0,0,0,20,20,0,0,0,0,0,20
8,CrFeSiTiMo,0,0,20,20,0,0,0,20,0,0,0,0,20,0,20
9,CrFeSiVMo,0,0,20,20,0,0,0,0,20,0,0,0,20,0,20
10,CrFeTiVMo,0,0,20,20,0,0,0,20,20,0,0,0,20,0,0
11,CrNiSiTiV,0,0,20,0,20,0,0,20,20,0,0,0,0,0,20
12,CrNiSiTiMo,0,0,20,0,20,0,0,20,0,0,0,0,20,0,20
13,CrNiSiVMo,0,0,20,0,20,0,0,0,20,0,0,0,20,0,20
14,CrNiTiVMo,0,0,20,0,20,0,0,20,20,0,0,0,20,0,0
15,CrSiTiVMo,0,0,20,0,0,0,0,20,20,0,0,0,20,0,20
16,FeNiSiTiV,0,0,0,20,20,0,0,20,20,0,0,0,0,0,20
17,FeNiSiTiMo,0,0,0,20,20,0,0,20,0,0,0,0,20,0,20
18,FeNiSiVMo,0,0,0,20,20,0,0,0,20,0,0,0,20,0,20
19,FeNiTiVMo,0,0,0,20,20,0,0,20,20,0,0,0,20,0,0
20,FeSiTiVMo,0,0,0,20,0,0,0,20,20,0,0,0,20,0,20
21,NiSiTiVMo,0,0,0,0,20,0,0,20,20,0,0,0,20,0,20
