Sample,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Zr,Hf,Mo,W,Si,dHmix,dSmix,Tm,Atom.Size.Diff,Elect.Diff,VEC,Phases,,,,,
CrSiTiVMo,-25.095177,13.841986,2333.7573,4.2786255,0.15222141,5.1009936,BCC,20,20,0,0,0,20,0,20,-25.095177,13.841986,2333.7573,4.2786255,0.15222141,5.1009936,BCC,,,,,
FeSiTiVMo,-25.090326,13.981338,2286.3945,4.0537033,0.15329446,5.5061784,BCC,20,20,0,0,0,20,0,20,-25.090326,13.9813385,2286.3945,4.0537033,0.15329446,5.5061784,BCC,,,,,
CrFeTiVMo,-0.9225207,13.745561,2116.5212,4.12441,0.15057172,6.1839824,BCC,20,20,0,0,0,20,0,0,-0.9225207,13.745561,2116.5212,4.12441,0.15057172,6.1839824,BCC,,,,,
CrFeSiTiMo,-24.65238,14.222337,2077.0251,4.493356,0.14974381,6.1221695,BCC,20,0,0,0,0,20,0,20,-24.65238,14.222337,2077.0251,4.493356,0.14974381,6.1221695,BCC,,,,,
CrFeSiVMo,-34.046772,13.615126,2074.9592,4.513064,0.13606606,6.2368193,BCC,0,20,0,0,0,20,0,20,-34.046772,13.615126,2074.9592,4.513064,0.13606606,6.2368193,BCC,,,,,
CrNiTiVMo,-11.001502,13.609653,2043.8375,3.8245938,0.1525902,5.651917,BCC,20,20,0,0,0,20,0,0,-11.001502,13.609653,2043.8375,3.8245938,0.1525902,5.651917,BCC,,,,,
NiSiTiVMo,0,0,0,0,20,0,0,20,20,0,0,0,20,0,20,-25.845863,13.964105,2030.9026,3.8944294,0.16770552,5.2436147,BCC,,,,,
CrFeSiTiV,-25.078718,13.782407,1990.0051,5.3168917,0.12652679,6.091256,BCC,20,20,0,0,0,0,0,20,-25.078718,13.782407,1990.0051,5.3168917,0.12652679,6.091256,BCC,,,,,35
CrNiSiTiMo,-25.285835,14.129273,1978.1414,4.548234,0.15176228,5.851385,BCC,20,0,0,0,0,20,0,20,-25.285835,14.129273,1978.1414,4.548234,0.15176228,5.851385,BCC,,,,,
CrNiSiTiV,-25.758163,13.483269,1937.5283,5.330751,0.12854525,5.549973,BCC,20,20,0,0,0,0,0,20,-25.758163,13.483269,1937.5283,5.330751,0.12854525,5.549973,BCC,,,,,
CrNiSiVMo,-34.12428,13.461336,1853.7075,3.7423098,0.1382023,6.146367,BCC,0,20,0,0,0,20,0,20,-34.12428,13.461336,1853.7075,3.7423098,0.1382023,6.146367,BCC,,,,,
FeNiTiVMo,-8.513893,13.91119,1807.0754,3.6210845,0.16605583,7.3387084,FCC+BCC,20,20,0,0,0,20,0,0,-8.513893,13.91119,1807.0754,3.6210845,0.16605583,7.3387084,FCC+BCC,,,,,
CrFeNiTiV,-9.73632,13.603078,1793.0002,4.857127,0.12689556,7.4939933,FCC+BCC,20,20,0,0,0,0,0,0,-9.73632,13.603078,1793.0002,4.857127,0.12689556,7.4939933,FCC+BCC,,,,,
CrFeNiTiMo,-8.991298,14.207552,1786.6416,4.3584313,0.15011258,7.740313,FCC+BCC,20,0,0,0,0,20,0,0,-8.991298,14.207552,1786.6416,4.3584313,0.15011258,7.740313,FCC+BCC,,,,,
FeNiSiTiV,-25.569729,13.947141,1774.7192,4.959075,0.14235805,7.2460957,MIP,20,20,0,0,0,0,0,20,-25.569729,13.947141,1774.7192,4.959075,0.14235805,7.2460957,MIP,,,,,
CrFeNiSiTi,-25.436535,14.333084,1763.9934,5.515778,0.14313382,7.6615696,MIP,20,0,0,0,0,0,0,20,-25.436535,14.333084,1763.9934,5.515778,0.14313382,7.6615696,MIP,,,,,
FeNiSiTiMo,-25.072374,14.151416,1750.1394,4.4177585,0.16377206,7.5779343,MIP,20,0,0,0,0,20,0,20,-25.072374,14.151416,1750.1394,4.4177585,0.16377206,7.5779343,MIP,,,,,
CrFeNiVMo,-8.762591,13.534409,1620.8662,3.5290775,0.13707332,7.4956946,FCC+BCC,0,20,0,0,0,20,0,0,-8.762591,13.534409,1620.8662,3.5290775,0.13707332,7.4956946,FCC+BCC,,,,,
FeNiSiVMo,-34.57542,13.63571,1618.2454,3.4027178,0.14871669,7.284404,MIP,0,20,0,0,0,20,0,20,-34.57542,13.63571,1618.2454,3.4027178,0.14871669,7.284404,MIP,,,,,
CrFeNiSiV,-34.787415,13.48024,1601.1702,3.183826,0.1160878,7.44903,MIP,0,20,0,0,0,0,0,20,-34.787415,13.48024,1601.1702,3.183826,0.1160878,7.44903,MIP,,,,,
CrFeNiSiMo,-32.983448,14.006333,1597.8699,4.2302723,0.1349476,7.7003427,MIP,0,0,0,0,0,20,0,20,-32.983448,14.006333,1597.8699,4.2302723,0.1349476,7.7003427,BCC,,,,,
