S.No,HEA combinations,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,Si,SC,C,Density_calc,dHmix,dSmix,dGmix,Tm,n.Para,Atom.Size.Diff,Elect.Diff,VEC,Phases,
1, (CoCrCuFeNi)84Nb16,0,17,17,17,17,17,0,0,0,13,0,0,0,0,0,0,0,0,8.396081499,-17.208576,14.89617139,408.1247331,1581.309134,1.60526595,5.120715665,0.12095,8.192,MIP,
2, (CoCrCuFeNi)88Nb12,0,18,18,18,18,18,0,0,0,10,0,0,0,0,0,0,0,0,8.383943652,-16.372224,14.8266012,398.0334057,1541.792376,1.643602409,4.588923987,0.115607169,8.344,MIP,
3, (CoCrCuFeNi)92Nb8,0,19,19,19,19,19,0,0,0,7,0,0,0,0,0,0,0,0,8.371280937,-15.385344,14.62889906,388.1885457,1502.505232,1.688352315,3.893664566,0.109192058,8.496,MIP,
4, (CoCrCuFeNi)96Nb4,0,19,19,19,19,19,0,0,0,3,0,0,0,0,0,0,0,0,8.358058555,-14.247936,14.24271136,378.6629953,1463.445707,1.735958907,2.916370967,0.101501559,8.648,FCC,
5,(CoCrNi)94Al3Ti3,3,31,31,0,31,0,0,3,0,0,0,0,0,0,0,0,0,0,7.887276237,-8.977422222,10.81920964,404.8363387,1544.145609,2.190127822,3.751220236,0.12265523,8.043333333,MIP,
6,(FeCoNiCr)94Ti2Al4,4,24,24,24,24,0,0,2,0,0,0,0,0,0,0,0,0,0,7.767598763,-7.3763,13.03936365,396.2312503,1524.225483,3.177288416,3.706237868,0.109201648,7.955,MIP,
7,(TiZrNbTa)85Mo15,0,0,0,0,0,0,0,21,0,21,15,21,0,21,0,0,0,0,8.358211,-0.87,13.31194683,670.6045741,2582.35,39.5,4.27,3.57,4.725,MIP,
8,(TiZrNbTa)90Mo10,0,0,0,0,0,0,0,23,0,23,10,23,0,23,0,0,0,0,6.0864o88,0.135,13.08,666.435015,2564,248.42,4.13,3.7,4.65,MIP,
9,(TiZrNbTa)95Mo5,0,0,0,0,0,0,0,24,0,24,5,24,0,24,0,0,0,0,7.72947611,1.26,12.6,662.97966,2546,25.46,3.96,3.81,4.575,MIP,
10,Al0.25MoNbTiV,6,0,0,0,0,0,0,24,24,24,24,0,0,0,0,0,0,0,7.075664374,-4.041522491,12.70837022,546.1289,2098.157909,7.456461981,4.003399323,0.243216622,4.882352941,BCC,
11,Al0.25NbTaTiV,6,0,0,0,0,0,0,24,24,24,0,0,0,24,0,0,0,0,8.805485735,-4.816608997,12.70837022,601.9875092,2312.760984,6.822790506,3.832439709,0.05017616,4.647058824,BCC, 
12,Al0.25NbTaTiZr,11.11,0,0,0,0,0,0,22.2,0,22.2,0,22.2,0,22.2,0,0,0,0,7.72947611,2.814022423,12.66135598,705.2231057,2709.505818,6.640900213,3.708173794,2.290409173,3.669869875,MIP,
13,Al0.25NbTiMoV,11.11,0,0,0,0,0,0,22.2,22.2,22.2,22.2,0,0,0,0,0,0,0,7.72947611,4.614858489,12.62749142,741.7208447,2849.532508,7.233020175,3.656915301,2.489530392,3.173064171,BCC,
14,Al0.25TiZrNbHf  ,11.11,0,0,0,0,0,0,22.2,0,22.2,0,22.2,22.2,0,0,0,0,0,7.596743587,6.415694555,12.59362686,778.2185837,2989.559199,7.825140137,3.605656807,2.688651611,2.676258467,BCC,
15,Al0.2Co1.5CrFeNi1.5Ti0.3,4,27,18,18,27,0,0,5,0,0,0,0,0,0,0,0,0,0,7.733562964,-10.02975207,13.36783889,392.8520383,1513.148704,2.38081192,4.630363442,0.116865961,8.054545455,MIP,
16,Al0.2MoNbTaTiV,10,0,0,0,0,0,0,20,10,20,20,0,0,20,0,0,0,0,7.72947611,5.151691303,12.73148849,602.4264538,2314.303236,-58.0040825,3.962814161,0.760596995,4.108126798,BCC,
17,Al0.2MoTaTiV,5,0,0,0,0,0,0,24,24,0,24,0,0,24,0,0,0,0,7.128849756,-3.35600907,12.56917544,551.9585078,2119.418332,8.960825344,4.017794358,0.244332586,4.904761905,BCC,
18,Al0.3CrFe1.5MnNi0.5Ti0.2,7,0,22,33,11,0,22,4,0,0,0,0,0,0,0,0,0,0,7.059399185,-7.674074074,13.28429997,374.3305458,1441.338432,2.96788621,5.397076994,0.132053861,7.044444444,BCC,
19,Al0.3HfNbTaTiZr,6,0,0,0,0,0,0,19,0,19,0,19,19,19,0,0,0,0,8.546797305,-5.040562466,12.82599837,581.4433955,2234.844498,6.381734885,4.754310304,0.10130303,4.395348837,BCC,
20,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,6,0,0,0,0,0,0,28,4,20,0,26,0,16,0,0,0,0,7.71,-4.86,13.46,601.2169546,2316.49,6.41,4.5,0.11,4.34,BCC,
21,Al0.3NbTaTi1.4Zr1.3,6,0,0,0,0,0,0,28,0,20,0,26,0,20,0,0,0,0,8.546797305,-5.040562466,12.82599837,581.4433955,2234.844498,6.381734885,4.754310304,0.10130303,4.395348837,MIP,
22,Al0.4Hf0.6NbTaTiZr,8,0,0,0,0,0,0,20,0,20,0,20,12,20,0,0,0,0,9.09,-6.33,14.5,619.66987,2397.2,5.49,4.11,0.12,4.32,BCC,
23,Al0.4MoNbTaTiV,2.25,0,0,0,0,0,0,10,10.6,19.4,20,0,0,37.7,0,0,0,0,7.72947611,0.556692578,14.02740587,526.7068041,2032.60977,15.80619114,4.764711345,-0.49433689,4.544735217,BCC,
24,Al0.5CoCrCu0.5FeNiTi0.5,9,18,18,18,18,9,0,9,0,0,0,0,0,0,0,0,0,0,7.124653711,-10.84297521,15.74583048,359.0404941,1395.70658,2.423461486,5.968017454,0.130877521,7.636363636,MIP,
25,Al0.5CoCrFeNiTi0.5,10,20,20,20,20,0,0,10,0,0,0,0,0,0,0,0,0,0,6.952532663,-15.52,14.53423972,379.4703095,1468.224762,1.630770505,6.252018873,0.13163966,7.3,MIP,
26,Al0.5HfNbTaTiZr,9,0,0,0,0,0,0,18,0,18,0,18,18,18,0,0,0,0,8.318837085,-8.987654321,13.14594406,563.7030986,2169.34111,3.572550786,4.697177857,0.101555799,4.333333333,BCC,
27,Al0.5HfNbTiZr,11,0,0,0,0,0,0,22,0,22,0,22,22,0,0,0,0,0,7.880052679,-10.96296296,13.14594406,502.6094733,1934.241259,2.646934237,4.957906842,0.1331202,4.111111111,BCC,
28,Al0.5Mo0.5NbTa0.5TiZr,11.11,0,0,0,0,0,0,22.2,0,22.2,11.1,22.2,0,11.1,0,0,0,0,7.72947611,-9.243181077,13.8119888,427.4172547,1672.173121,2.636484977,5.494774302,0.062841944,5.70586414,MIP,
29,Al0.5MoNbTiV,11,0,0,0,0,0,0,22,22,22,22,0,0,0,0,0,0,0,6.827812983,-7.012345679,13.14594406,519.8353005,2000.516448,4.262409942,3.93239278,0.237834884,4.777777778,BCC,
30,Al0.5NbTa0.8Ti1.5V0.2Zr,10,0,0,0,0,0,0,30,4,20,0,20,0,16,0,0,0,0,7.56,-8.62,13.78,587.1169034,2264.97,3.62,4.23,0.1,4.3,MIP,
31,Al0.5NbTaTiV,11,0,0,0,0,0,0,22,22,22,0,0,0,22,0,0,0,0,8.470881725,-8.395061728,13.14594406,575.7847956,2215.832994,3.897533129,3.737504762,0.049615808,4.555555556,BCC,
32,Al0.5NbTiMoV,12.5,0,0,0,0,0,0,25,25,25,12.5,0,0,0,0,0,0,0,7.956020667,-10.6359896,13.2592704,521.3168552,1981.429593,2.279120464,4.493754638,0.131539841,4.958052234,BCC,
33,Al0.5NbTiVZr,11,0,0,0,0,0,0,22,22,22,0,22,0,0,0,0,0,0,6.07,-10.86,13.15,546.755116,2104.16,2.55,5.76,0.11,4.33,MIP,
34,Al0.5TiZrNbHf  ,12.5,0,0,0,0,0,0,25,0,25,0,25,12.5,0,0,0,0,0,7.956020667,-11.41150519,13.22403856,507.9083277,2030.293838,1.516040672,4.737205319,0.161489209,4.760510655,BCC,
35,Al0.6MoNbTaTiV,13.04,0,0,0,0,0,0,17.4,17.4,17.4,17.4,0,0,17.4,0,0,0,0,7.890652596,-11.82109597,13.16173408,505.6174518,2036.036363,1.112396651,4.600390006,0.174493252,4.732310725,BCC,
36,Al0.6MoTaTiV,13,0,0,0,0,0,0,0,22,22,22,0,0,22,0,0,0,0,6.73636013,-8.015122873,13.24232516,510.4350562,1965.07407,3.697920966,3.904515056,0.235770867,4.739130435,BCC,
37,Al0.75CoCrCu0.25FeNiTi0.5,14,18,18,18,18,5,0,9,0,0,0,0,0,0,0,0,0,0,6.784659882,-14.38842975,15.54807926,355.3300781,1380.236222,1.786642495,6.381032408,0.132989312,7.272727273,BCC,
